epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2680048942565918,4.211677074432373,1e-04,0.2191685289144516,4.994617938995361
1,0.32393088936805725,3.4578144550323486,1e-04,0.3942522406578064,3.046762228012085
2,0.36016756296157837,2.915990114212036,1e-04,0.4203403890132904,2.5678069591522217
3,0.387327641248703,2.5056934356689453,1e-04,0.4130859375,2.2945783138275146
4,0.4115552306175232,2.2087197303771973,1e-04,0.4542410671710968,1.9993587732315063
5,0.4370047152042389,1.978964924812317,1e-04,0.4870256781578064,1.7644071578979492
6,0.4584046006202698,1.8032008409500122,1e-04,0.4933035671710968,1.645767092704773
7,0.47261300683021545,1.6789458990097046,1e-04,0.4970703125,1.542883038520813
8,0.49478092789649963,1.5663899183273315,1e-04,0.5226004719734192,1.440951943397522
9,0.5039622783660889,1.4889389276504517,1e-04,0.5277622938156128,1.3955668210983276
10,0.5203351378440857,1.4250577688217163,1e-04,0.5516182780265808,1.316194772720337
11,0.5309827327728271,1.365493893623352,1e-04,0.568359375,1.2565561532974243
12,0.5456798672676086,1.32185959815979,1e-04,0.5666852593421936,1.2477648258209229
13,0.5569209456443787,1.285861849784851,1e-04,0.5756138563156128,1.2294511795043945
14,0.5695933103561401,1.2520583868026733,1e-04,0.5675223469734192,1.2527025938034058
15,0.579717218875885,1.222808837890625,1e-04,0.5857979655265808,1.1872926950454712
16,0.5876069068908691,1.1892735958099365,1e-04,0.5989118218421936,1.1562212705612183
17,0.5949380397796631,1.1688519716262817,1e-04,0.6022600531578064,1.1428453922271729
18,0.6027578711509705,1.1470191478729248,1e-04,0.6148158311843872,1.1241426467895508
19,0.6119043231010437,1.127432107925415,1e-04,0.5966796875,1.1666526794433594
